metadata;chart.title;Primary energy supply
metadata;chart.subtitle
metadata;chart.xLabel;Years
metadata;chart.yLabel;TJ
metadata;chart.source
metadata;chart.note
metadata;data.source
metadata;data.file
metadata;chart.type;bar.stacked
metadata;chart.level_1;year
data;year;Coal;Crude oil;Natural gas;Gas plant natural gas liquids (NGL's);Primary electricity (hydro, nuclear, tidal, solar and wind)
data;1999;1198794;3949766;3388075;473522;1377649
data;2000;1268587;4088024;3589469;416895;1396179
data;2001;1314497;4170052;3381300;491213;1364567
data;2002;1331137;4204736;3519641;520794;1431883
data;2003;1326860;4365104;3614732;490079;1432559
data;2004;1249505;4721631;3539037;518109;1483314
data;2005;1254088;4449322;3561600;581345;1522815
data;2006;1212411;4374861;3532722;612440;1530872
data;2007;1270770;4450707;3761070;631977;1527461
data;2008;1202735;4339445;3754939;606325;1569658
data;2009;993019;4228761;3648310;602710;1523122
data;2010;1026503;4382963;3717835;613098;1503306
data;2011;912612;4174790;4084453;644402;1566649
data;2012;871426;4287371;4034358;665169;1552072
data;2013;847227;4174749;4278147;594269;1588065
data;2014;792590;4077864;4454436;599336;1601286
data;2015;811938;4191767;4461178;636130;1573064
data;2016;755748;4253694;4293022;689684;1555952
data;2017;758047;4397820;4454857;675958;1647562
data;2018;622159;4297121;4692768;679214;1670374
data;2019;598413;4269827;4754785;742500;1652277
data;2020;398413;8269827;7547851;242500;4652277
