id,figure,type
2,2-2,Area
6,2-6,Bar.Stacked
7,2-7,Bar.Stacked
8,2-8,Bar.Stacked.Center
9,2-9,Bar.Stacked.Center
11,2-11,Bar.Stacked
12,3-1,Bar.Stacked.Center
13,3-2,Bar.Grouped.Overlap
14,3-3,Bar.Grouped
15,4-1,Bar.Grouped.Stacked
16,4-2,Bar.Grouped.Stacked
17,4-3,Bar.Grouped.Stacked
18,4-4,Bar.Grouped.Stacked
19,4-5,Bar.Grouped.Stacked
20,4-6,Bar.Grouped.Stacked
21,4-7,Bar.Grouped.Stacked
22,4-8,Bar.Grouped.Stacked
23,5-1,Bar.Grouped.Stacked
24,5-2,Bar.Grouped.Stacked
25,5-3,Bar.Grouped.Stacked
26,5-4,Bar.Grouped.Stacked
27,5-5,Bar.Grouped.Stacked
28,5-6,Bar.Grouped.Stacked
29,5-7,Bar.Grouped.Stacked.Multi
30,6-1,Bar.Grouped.Stacked
31,6-2,Bar.Grouped.Stacked
32,6-3,Bar.Grouped.Stacked.Multi
33,6-4,Bar.Grouped.Stacked
34,6-5,Bar.Grouped.Stacked
35,7-1,Line
36,7-2,Line
37,7-3,Line
39,7-5,Bar.Grouped.Grouped
40,7-6,Bar.Grouped
41,7-7,Bar.Grouped
42,7-8,Bar.Grouped.Stacked
44,8-1,Bar.Grouped.Stacked.Double
45,8-2,Bar.Grouped.Stacked.Double
46,8-3,Bar.Grouped.Stacked.Double
47,8-4,Bar.Grouped.Stacked.Double
48,8-5,Bar.Grouped.Stacked.Double
49,8-6,Bar.Grouped.Stacked.Double
50,8-7,Bar.Grouped.Stacked.Double
51,8-8,Bar.Grouped.Stacked.Double
52,8-9,Bar.Grouped.Stacked.Double
53,8-10,Bar.Grouped.Stacked.Double
54,8-11,Bar.Grouped.Stacked.Double
55,9-1,Bar.Grouped.Stacked
56,9-2,Bar.Grouped.Stacked
57,9-3,Bar.Grouped.Stacked
58,9-4,Bar.Grouped.Stacked
59,9-5,Bar.Grouped.Stacked
60,9-6,Bar.Grouped.Stacked
61,9-7,Bar.Grouped.Stacked.Percent
62,9-8,Bar.Grouped.Stacked
63,9-9,Bar.Grouped.Stacked
64,9-10,Bar.Grouped.Stacked
65,9-11,Bar.Grouped.Stacked
66,9-12,Bar.Grouped.Stacked
