Year,Scenario,Hydro,Other renewables,Biomass,Conventional oil,Natural gas,Coal,Uranium
2015,__,1482,127,633,3378,5704,6762,1375,6162
2030,BAU,1799,241,828,3451,9450,6375,583,5882
2030,PRO,2164,613,1390,3242,9450,5375,366,5882
2030,FIM,2225,425,1151,3091,9450,5135,583,5882
2030,FED,2282,604,1265,3089,9258,5053,583,5882
2030,80P,2279,598,1253,3097,9261,5077,582,5882
2050,BAU,2423,565,860,3855,10208,8168,510,5701
2050,PRO,2863,1963,1960,3391,10208,5653,510,6548
2050,FIM,2829,3372,1736,3114,9196,4993,509,5701
2050,FED,2832,3922,2324,2998,6360,4718,509,6382
2050,80P,2833,3667,2323,2503,5193,4611,509,7092
