Year,Scenario,Crude oil,Oil products,Natural gas,LNG,Coal,Electricity,Uranium,Bioenergy
2015,__,6935,903,2886,387,770,208,5079,49
2030,BAU,10763,745,885,486,406,304,5079,46
2030,PRO,10428,736,885,487,238,304,5079,46
2030,FIM,10144,727,907,496,434,304,5079,46
2030,FED,10221,723,901,501,435,304,5079,46
2030,80P,10264,714,1143,499,471,304,5079,46
2050,BAU,11404,714,177,1980,335,298,5079,41
2050,PRO,11740,672,687,550,429,298,5079,38
2050,FIM,10393,751,1682,542,380,298,5079,41
2050,FED,8485,632,1682,973,381,298,5079,41
2050,80P,7083,638,1682,1215,432,298,5079,41
