figure,label,color
2-6,Industrial,#5487a4
2-6,Transport,#ea5530
2-6,Residential,#a4aba6
2-6,Comm./Inst.,#f7d255
2-6,Agriculture,#88b04b
2-7,Industrial,#5487a4
2-7,Transport,#ea5530
2-7,Residential,#a4aba6
2-7,Comm./Inst.,#f7d255
2-7,Agriculture,#88b04b
2-8,Coal,#ea5530
2-8,Crude oil,#a4aba6
2-8,Natural gas,#f7d255
2-8,Gas plant natural gas liquids,#5d675f
2-8,Primary electricity,#9bd4dc
2-9,Coal,#ea5530
2-9,Crude oil,#a4aba6
2-9,Natural gas,#f7d255
2-9,Gas plant natural gas liquids,#ef7d00
2-9,Primary electricity,#9bd4dc
2-11,Electricity,#9bd4dc
2-11,Natural gas,#f7d255
2-11,Other fuel,#ea5530
2-11,Electricity and fuel for owned secondary residences,#5487a4
2-11,Vehicle fuel,#004c8e
2-11,Public transit,#88b04b
3-1,Public Electricity and Heat Production,#9bd4dc
3-1,Transports,#ea5530
3-1,Oil_ gas_ and refining industries_ including fugitive sources,#b6807d
3-1,Industry,#5d675f
3-1,Commercial and institutional,#f7d255
3-1,Residential,#a4aba6
3-1,Agriculture and forestry,#bdd030
3-1,Industrial processes,#5487a4
3-1,Agriculture,#88b04b
3-1,Waste,#7b3a38
4-1,Bioenergy,#88b04b
4-1,Coal,#ea5530
4-1,Electricity,#9bd4dc
4-1,Natural gas,#f7d255
4-1,Oil products,#b8b7b7
4-1,Other renewables,#82368c
4-1,Hydrogen,#4f9db6
4-2,Hydro,#4f9db6
4-2,Thermal,#d20a11
4-2,Nuclear,#f39200
4-2,Biomass,#88b04b
4-2,Wind,#bcdbf4
4-2,Solar,#ffde00
4-2,Other renewables,#82368c
4-3,Agriculture,#88b04b
4-3,Commercial,#f7d255
4-3,Industry,#5d675f
4-3,Residential,#a4aba6
4-3,Transports,#ea5530
4-4,Coal,#ea5530
4-4,Electricity - Centralized,#4f9db6
4-4,Electricity - Solar PV,#9bd4dc
4-4,Oil products,#b8b7b7
4-4,Natural gas,#f7d255
4-4,Bioenergy,#88b04b
4-4,Geo and solar thermal,#ffed00
4-4,Energy conservation,#f9b674
4-5,Electricity,#9bd4dc
4-5,Oil products,#b8b7b7
4-5,Natural gas & LNG,#f7d255
4-5,Bioenergy,#88b04b
4-5,Coal & Coke,#ea5530
4-6,Aviation fuels,#82368c
4-6,Bioenergy,#88b04b
4-6,Diesel,#878787
4-6,Electricity,#9bd4dc
4-6,Gasoline,#b8b7b7
4-6,Heavy fuel oil,#5d675f
4-6,Natural gas & LNG,#f7d255
4-6,Hydrogen,#4f9db6
4-7,Electric systems,#9bd4dc
4-7,Heatpumps - Electricity,#4f9db6
4-7,Heatpumps - Natural gas,#f39200
4-7,Central heat systems,#d20a11
4-7,Heating oil systems,#b8b7b7
4-7,Natural gas systems,#f7d255
4-7,LPG systems,#f6a66f
4-7,Geothermal systems,#82368c
4-8,Electric baseboard,#9bd4dc
4-8,Heatpumps - Electricity,#4f9db6
4-8,Heating oil systems,#b8b7b7
4-8,Natural gas systems,#f7d255
4-8,LPG systems,#f6a66f
4-8,Wood and pellets stoves,#ca9e67
5-1,Hydro,#4f9db6
5-1,Other renewables,#82368c
5-1,Biomass,#88b04b
5-1,Conventional oil,#a4aba6
5-1,Unconventional oil,#5d675f
5-1,Natural gas,#f7d255
5-1,Coal,#ea5530
5-1,Uranium,#f39200
5-2,Crude oil,#5d675f
5-2,Oil products,#a4aba6
5-2,Natural gas,#f7d255
5-2,LNG,#f1b300
5-2,Coal,#ea5530
5-2,Electricity,#9bd4dc
5-2,Uranium,#f39200
5-2,Bioenergy,#88b04b
5-3,Crude oil,#5d675f
5-3,Oil products,#a4aba6
5-3,Natural gas,#f7d255
5-3,LNG,#f1b300
5-3,Coal,#ea5530
5-3,Electricity,#9bd4dc
5-3,Bioenergy,#88b04b
5-4,Corn - Wheat,#f7d255
5-4,Soy - Canola - Greasy residues,#f9b674
5-4,Forestry residues,#008d36
5-4,Agriculture residues,#bdd030
5-4,Industrial residues,#5d675f
5-4,Pulp & paper waste,#5487a4
5-4,Organic municipal waste,#a4aba6
5-4,Manure,#b6807d
5-4,Landfill biogas,#88b04b
5-4,Sewage sludge,#7b3a38
5-4,Dedicated culture,#f39200
5-5,Industrial uses,#5d675f
5-5,Space heating,#d20a11
5-5,Pellet production,#ca9e67
5-5,Electricity generation,#9bd4dc
5-5,Biofuel production,#88b04b
5-6,Industrial uses,#5d675f
5-6,Space heating,#d20a11
5-6,Pellet production,#ca9e67
5-6,Electricity generation,#9bd4dc
5-6,Biofuel production,#88b04b
5-6,Renewable natural gas production,#f7d255
5-7,Hydro,#4f9db6
5-7,Other renewables,#82368c
5-7,Biomass,#88b04b
5-7,Conventional oil,#a4aba6
5-7,Unconventional oil,#5d675f
5-7,Natural gas,#f7d255
5-7,Coral,#ea5530
5-7,Uranium,#f39200
6-1,Hydro,#4f9db6
6-1,Coal,#ea5530
6-1,Natural gas,#f7d255
6-1,Fuel oil,#a4aba6
6-1,Nuclear,#f39200
6-1,Biomass,#88b04b
6-1,Other renewables,#82368c
6-2,Hydro,#4f9db6
6-2,Thermal,#d20a11
6-2,Nuclear,#f39200
6-2,Biomass,#88b04b
6-2,Wind,#bcdbf4
6-2,Solar,#ffde00
6-2,Other renewables,#82368c
6-4,Hydro,#4f9db6
6-4,Thermal,#d20a11
6-4,Nuclear,#f39200
6-4,Biomass,#88b04b
6-4,Wind,#bcdbf4
6-4,Solar,#ffde00
6-4,Other renewables,#82368c
6-5,Agriculture,#88b04b
6-5,Commercial,#f7d255
6-5,Industrial,#5487a4
6-5,Residential,#a4aba6
6-5,Transport,#ea5530
6-5,Energy production,#b6807d
6-5,International exports,#bdd030
6-5,Auto-consumption,#5d675f
7-6,2030,#88b04b
7-6,2050,#f7d255
7-7,2030,#88b04b
7-7,2050,#f7d255
7-8,Agriculture,#88b04b
7-8,Commercial,#f7d255
7-8,Industrial,#5487a4
7-8,Residential,#a4aba6
7-8,Transport,#ea5530
7-8,Electricity,#9bd4dc
7-8,Energy production,#82368c
9-1,Planes,#83358d
9-1,Buses,#88b14b
9-1,Cars - Large,#a4aaa6
9-1,Cars - Small,#5d675f
9-1,Motorcycles,#f6d254
9-1,Trucks - Light,#9bd4dd
9-1,Subways & trains,#f19100
9-2,Trucks - Light,#9bd4dc
9-2,Trucks - Medium,#4f9db6
9-2,Trucks - Heavy,#004c8e
9-2,Trains,#f39200
9-2,Planes,#82368c
9-3,Aviation fuels,#82368c
9-3,Bioenergy,#88b04b
9-3,Diesel,#878787
9-3,Electricity,#9bd4dc
9-3,Gasoline,#b8b7b7
9-3,Heavy fuel oil,#5d675f
9-3,Natural gas & LNG,#f7d255
9-3,Hydrogen,#4f9db6
9-4,Aviation fuels,#82368c
9-4,Bioenergy,#88b04b
9-4,Diesel,#878787
9-4,Electricity,#9bd4dc
9-4,Gasoline,#b8b7b7
9-4,Heavy fuel oil,#5d675f
9-4,Natural gas & LNG,#f7d255
9-4,Hydrogen,#4f9db6
9-5,Planes,#82368c
9-5,Busus,#88b04b
9-5,Cars - Large,#a4aba6
9-5,Cars - Small,#5d675f
9-5,Motorcycles,#f7d255
9-5,Trucks - Light,#9bd4dc
9-5,Subways & trains,#f39200
9-5,Off-road,#ea5530
9-6,Trucks - Light,#9bd4dc
9-6,Trucks - Medium,#4f9db6
9-6,Trucks - Heavy,#004c8e
9-6,Trains,#f39200
9-6,Planes,#82368c
9-6,Ship,#88b04b
9-8,Planes,#82368c
9-8,Buses,#88b04b
9-8,Cars - Large,#a4aba6
9-8,Cars - Small,#5d675f
9-8,Motorcycles,#f7d255
9-8,Trucks - Light,#9bd4dc
9-8,Subways & trains,#f39200
9-9,Trucks - Light,#9bd4dc
9-9,Trucks - Medium,#4f9db6
9-9,Trucks - Heavy,#004c8e
9-9,Trains,#f39200
9-9,Planes,#82368c
9-10,Aviation fuels,#82368c
9-10,Bioenergy,#88b04b
9-10,Diesel,#878787
9-10,Electricity,#9bd4dc
9-10,Gasoline,#b8b7b7
9-10,Heavy fuel oil,#5d675f
9-10,Natural gas & LNG,#f7d255
9-10,Hydrogen,#4f9db6
9-11,Aviation fuels,#82368c
9-11,Bioenergy,#88b04b
9-11,Diesel,#878787
9-11,Electricity,#9bd4dc
9-11,Gasoline,#b8b7b7
9-11,Heavy fuel oil,#5d675f
9-11,Natural gas & LNG,#f7d255
9-11,Hydrogen,#4f9db6
9-12,Agriculture,#88b04b
9-12,Commercial,#f7d255
9-12,Industrial,#5d675f
9-12,Residential,#a4aba6
9-12,Transport,#ea5530
9-12,Electricity,#9bd4dc
9-12,Energy production,#5487a4
