Year,Scenario,Coal,Electricity - Centralized,Electricity - Solar PV,Oil products,Natural gas,Bioenergy,Geo and solar thermal,Energy conservation
2015,__,1,1099,1,352,1250,89,1,40
2030,BAU,0,1115,5,271,1301,60,5,199
2030,PRO,0,1332,7,246,982,61,8,199
2030,FIM,0,1206,9,216,1181,59,8,199
2030,FED,0,1230,14,195,1135,74,8,199
2030,80P,0,1216,14,197,1150,74,8,199
2050,BAU,0,1066,299,145,1525,27,12,276
2050,PRO,0,1727,367,109,507,127,13,275
2050,FIM,0,2057,390,38,238,45,13,276
2050,FED,0,2093,403,32,79,137,13,276
2050,80P,0,2086,412,32,36,174,13,275
