Year,Scenario,Corn - Wheat,Soy - Canola - Greasy residues,Forestry residues,Agriculture residues,Industrial residues,Pulp & paper waste,Organic municipal waste,Manure,Landfill biogas,Sewage sludge,Dedicated culture
2015,__,56,39,524,0,0,0,2,5,8,0,0
2030,BAU,15,69,544,1,6,0,212,4,29,0,1
2030,PRO,82,80,658,250,84,1,201,4,77,0,3
2030,FIM,24,70,636,118,70,1,213,6,68,0,3
2030,FED,51,54,654,201,84,1,207,7,62,1,3
2030,80P,51,54,654,186,84,1,206,5,60,1,3
2050,BAU,1,85,550,1,24,1,227,1,26,0,0
2050,PRO,131,101,729,385,192,1,167,92,122,19,107
2050,FIM,125,79,733,338,128,1,212,8,85,0,86
2050,FED,132,88,736,596,210,1,159,231,130,25,105
2050,80P,132,87,751,596,210,1,137,230,129,25,105
