variable,label-en,label-fr,color
industrial,Industrial,Industrial,#5487a4
transport,Transport,Transport,#ea5530
residential,Residential,Residential,#a4aba6
commInst.,Comm./Inst.,Comm./Inst.,#f7d255
agriculture,Agriculture,Agriculture,#88b04b
coal,Coal,Coal,#ea5530
crudeOil,Crude oil,Crude oil,#7d4e24
naturalGas,Natural gas,Natural gas,#f7d255
gasPlantNaturalGasLiquids,Gas plant natural gas liquids,Gas plant natural gas liquids,#5d675f
primaryElectricity,Primary electricity,Primary electricity,#9bd4dc
electricity,Electricity,Electricity,#9bd4dc
otherFuel,Other fuel,Other fuel,#ea5530
electricityAndFuelForOwnedSecondaryResidences,Electricity and fuel for owned secondary residences,Electricity and fuel for owned secondary residences,#5487a4
vehicleFuel,Vehicle fuel,Vehicle fuel,#004c8e
publicTransit,Public transit,Public transit,#88b04b
publicElectricityAndHeatProduction,Public Electricity and Heat Production,Public Electricity and Heat Production,#9bd4dc
transports,Transports,Transports,#ea5530
oilGasAndRefiningIndustriesIncludingFugitiveSources,Oil_ gas_ and refining industries_ including fugitive sources,Oil_ gas_ and refining industries_ including fugitive sources,#b6807d
industry,Industry,Industry,#5d675f
commercialAndInstitutional,Commercial and institutional,Commercial and institutional,#f7d255
agricultureAndForestry,Agriculture and forestry,Agriculture and forestry,#bdd030
industrialProcesses,Industrial processes,Industrial processes,#5487a4
waste,Waste,Waste,#7b3a38
bioenergy,Bioenergy,Bioenergy,#88b04b
oilProducts,Oil products,Oil products,#b8b7b7
otherRenewables,Other renewables,Other renewables,#82368c
hydrogen,Hydrogen,Hydrogen,#4f9db6
hydro,Hydro,Hydro,#4f9db6
thermal,Thermal,Thermal,#d20a11
nuclear,Nuclear,Nuclear,#f39200
biomass,Biomass,Biomass,#88b04b
wind,Wind,Wind,#bcdbf4
solar,Solar,Solar,#ffde00
commercial,Commercial,Commercial,#f7d255
electricityCentralized,Electricity - Centralized,Electricity - Centralized,#4f9db6
electricitySolarPV,Electricity - Solar PV,Electricity - Solar PV,#9bd4dc
geoAndSolarThermal,Geo and solar thermal,Geo and solar thermal,#ffed00
energyConservation,Energy conservation,Energy conservation,#f9b674
naturalGas&LNG,Natural gas & LNG,Natural gas & LNG,#f7d255
coal&Coke,Coal & Coke,Coal & Coke,#ea5530
aviationFuels,Aviation fuels,Aviation fuels,#82368c
diesel,Diesel,Diesel,#878787
gasoline,Gasoline,Gasoline,#b8b7b7
heavyFuelOil,Heavy fuel oil,Heavy fuel oil,#5d675f
electricSystems,Electric systems,Electric systems,#9bd4dc
heatpumpsElectricity,Heatpumps - Electricity,Heatpumps - Electricity,#4f9db6
heatpumpsNaturalGas,Heatpumps - Natural gas,Heatpumps - Natural gas,#f39200
centralHeatSystems,Central heat systems,Central heat systems,#d20a11
heatingOilSystems,Heating oil systems,Heating oil systems,#b8b7b7
naturalGasSystems,Natural gas systems,Natural gas systems,#f7d255
LPGSystems,LPG systems,LPG systems,#f6a66f
geothermalSystems,Geothermal systems,Geothermal systems,#82368c
electricBaseboard,Electric baseboard,Electric baseboard,#9bd4dc
woodAndPelletsStoves,Wood and pellets stoves,Wood and pellets stoves,#ca9e67
conventionalOil,Conventional oil,Conventional oil,#a4aba6
unconventionalOil,Unconventional oil,Unconventional oil,#5d675f
uranium,Uranium,Uranium,#f39200
LNG,LNG,LNG,#f1b300
cornWheat,Corn_ Wheat,Corn_ Wheat,#f7d255
soyCanolaGreasyResidues,Soy - Canola - Greasy residues,Soy - Canola - Greasy residues,#f9b674
forestryResidues,Forestry residues,Forestry residues,#008d36
agricultureResidues,Agriculture residues,Agriculture residues,#bdd030
industrialResidues,Industrial residues,Industrial residues,#5d675f
pulp&PaperWaste,Pulp & paper waste,Pulp & paper waste,#5487a4
organicMunicipalWaste,Organic municipal waste,Organic municipal waste,#a4aba6
manure,Manure,Manure,#b6807d
landfillBiogas,Landfill biogas,Landfill biogas,#88b04b
